Sigla,Nome do evento em inglês,Nome do evento,Estrato
MEDINFO,World Congress on Medical and Health Informatics,Congresso Mundial de Informática Médica e de Saúde,A1
MEMEA,IEEE International Symposium on Medical Measurements and Applications,Simpósio Internacional IEEE sobre Medições Médicas e Aplicações,A3
MEMSYS,International Symposium on Memory Systems,Simpósio Internacional sobre Sistemas de Memória,A4
MFCS,International Symposium on Mathematical Foundations of Computer Science,Simpósio Internacional sobre Fundamentos Matemáticos da Ciência da Computação,A3
MFI,IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems,Conferência Internacional IEEE sobre Fusão e Integração de Sensores para Sistemas Inteligentes,A4
MIC,Metaheuristics International Conference,Conferência Internacional de Metaheurísticas,B3
MICAI,Mexican International Conference on Artificial Intelligence,Conferência Internacional Mexicana sobre Inteligência Artificial,B1
MICCAI,International Conference on Medical Image Computing and Computer Assisted Intervention,Conferência Internacional sobre Computação de Imagem Médica e Intervenção Assistida por Computador,A1
MIDDLEWARE,International Middleware Conference,Conferência Internacional de Middleware,A3
MILCOM,Military Communications Conference,Conferência de Comunicações Militares,A3
MLDM,International Conference on Machine Learning and Data Mining in Pattern Recognition,Conferência Internacional sobre Aprendizado de Máquina e Mineração de Dados em Reconhecimento de Padrões,B4
MLS,Conference on Machine Learning and Systems,Conferência sobre Aprendizado de Máquina e Sistemas,A1
MLSP,IEEE International Workshop on Machine Learning for Signal Processing,Workshop Internacional IEEE sobre Aprendizado de Máquina para Processamento de Sinais,A3
MMAR,International Conference on Methods and Models in Automation and Robotics,Conferência Internacional sobre Métodos e Modelos em Automação e Robótica,B2
MMM,International Conference on Multimedia Modelling,Conferência Internacional sobre Modelagem Multimídia,A2
MMSP,International Workshop on Multimedia and Signal Processing,Workshop Internacional sobre Multimídia e Processamento de Sinais,A3
MMSYS,ACM Multimedia Systems Conference,Conferência ACM sobre Sistemas Multimídia,A2
MOBICOM,ACM/IEEE International Conference on Mobile Computing and Networking,Conferência Internacional ACM/IEEE sobre Computação e Redes Móveis,A1
MOBIHEALTH,EAI International Conference on Wireless Mobile Communication and Healthcare,Conferência Internacional EAI sobre Comunicação Móvel Sem Fio e Saúde,B3
MOBILESOFT,International Conference on Mobile Software Engineering and Systems,Conferência Internacional sobre Engenharia e Sistemas de Software Móvel,B2
MOBIQUITOUS,"EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services","Conferência Internacional EAI sobre Sistemas Móveis e Ubíquos: Computação, Redes e Serviços",A4
MobiSys,"Annual International Conference on Mobile Systems, Applications, and Services","Conferência Internacional Anual sobre Sistemas, Aplicações e Serviços Móveis",A1
MOBIWAC,ACM International Symposium on Mobility Management and Wireless Access,Simpósio Internacional ACM sobre Gestão de Mobilidade e Acesso Sem Fio,B3
MODELS,International Conference on Model Driven Engineering Languages and Systems,Conferência Internacional sobre Linguagens e Sistemas de Engenharia Dirigida por Modelos,A2
MODELSWARD,International Conference on Model-Driven Engineering and Software Development,Conferência Internacional sobre Engenharia Dirigida por Modelos e Desenvolvimento de Software,B1
MSR,Working Conference on Mining Software Repositories,Conferência de Trabalho sobre Mineração de Repositórios de Software,A1
MSSIS,Workshop deModelagem e Simulação de Sistemas Intensivos em Software,Workshop on Modeling and Simulation of Software-Intensive Systems,B4
MSWIM,"ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems","Conferência Internacional ACM sobre Modelagem, Análise e Simulação de Sistemas Sem Fio e Móveis",A4
MTSR,International Conference on Metadata and Semantics Research,Conferência Internacional sobre Pesquisa em Metadados e Semântica,B2
MWSCAS,International Midwest Symposium on Circuits and Systems,Simpósio Internacional do Meio-Oeste sobre Circuitos e Sistemas,A3
NAACL,North American Chapter of the Association for Computational Linguistics Annual Meeting,Reunião Anual do Capítulo Norte-Americano da Associação de Linguística Computacional,A1
NCA,IEEE International Symposium on Network Computing and Applications,Simpósio Internacional IEEE sobre Computação em Rede e Aplicações,A4
NETSOFT,IEEE Conference on Network Softwarization,Conferência IEEE sobre Softwarização de Redes,A2
NetSys,International Conference on Networked Systems,Conferência Internacional sobre Sistemas em Rede,B1
NETWORKING,IFIP Networking Conference,Conferência de Redes IFIP,A3
NEURIPS,Neural Information Processing Systems,Sistemas de Processamento de Informação Neural,A1
NEWCAS,IEEE International New Circuits and Systems Conference,Conferência Internacional IEEE sobre Novos Circuitos e Sistemas,B1
NFV-SDN,IEEE Conference on Network Function Virtualization and Software Defined Networks,Conferência IEEE sobre Virtualização de Funções de Rede e Redes Definidas por Software,A4
NIME,International Conference on New Interfaces for Musical Expression,Conferência Internacional sobre Novas Interfaces para Expressão Musical,A3
NLDB,International Conference on Application of Natural Language to Information Systems,Conferência Internacional sobre Aplicação de Linguagem Natural a Sistemas de Informação,A4
NOF,International Conference on Network of the Future,Conferência Internacional sobre Rede do Futuro,B2
NOMS,IEEE/IFIP Network Operations and Management Symposium,Simpósio IEEE/IFIP de Operações e Gestão de Redes,A2
NORDICHI,Nordic Conference on Human-Computer Interaction,Conferência Nórdica sobre Interação Humano-Computador,A3
NTMS,"IFIP International Conference on New Technologies, Mobility and Security","Conferência Internacional IFIP sobre Novas Tecnologias, Mobilidade e Segurança",A4
OCEAN,IEEE Oceans Conference,Conferência IEEE Oceans,B3
OM,International Workshop on Ontology Matching,Workshop Internacional sobre Correspondência de Ontologias,A4
ONDM,Conference on Optical Network Design and Modeling,Conferência sobre Design e Modelagem de Redes Ópticas,A4
ONTOBRAS,Seminar on Ontology Research in Brazil,Seminário de Pesquisa em Ontologia no Brasil,B2
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications","Conferência sobre Sistemas, Linguagens e Aplicações de Programação Orientada a Objetos",B3
OPENSCIENSE,Workshop de Práticas de Ciência Aberta Para Engenharia de Software,Workshop on Open Science Practices for Software Engineering,B4
OPENSYM,International Symposium on Open Collaboration,Simpósio Internacional sobre Colaboração Aberta,B1
OSS,International Conference on Open Source Systems,Conferência Internacional sobre Sistemas de Código Aberto,B1
OZCHI,Australian Conference on Human-Computer Interaction,Conferência Australiana sobre Interação Humano-Computador,A3
PAAMS,"International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability","Conferência Internacional sobre Aplicações Práticas de Agentes, Sistemas Multiagentes e Sustentabilidade",B1
PACBB,International Conference on Practical Applications of Computational Biology & Bioinformatics,Conferência Internacional sobre Aplicações Práticas de Biologia Computacional e Bioinformática,A4
PACIS,Pacific Asia Conference on Information Systems,Conferência da Ásia-Pacífico sobre Sistemas de Informação,A3
PACTT,International Conference on Parallel Architectures and Compilation Techniques,Conferência Internacional sobre Arquiteturas Paralelas e Técnicas de Compilação,A3
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Conferência da Ásia-Pacífico sobre Descoberta de Conhecimento e Mineração de Dados,A2
PAM,Passive and Active Network Measurement Conference,Conferência sobre Medição de Rede Passiva e Ativa,A3
PCS,Picture Coding Symposium,Simpósio de Codificação de Imagem,A4
PDP,"Euromicro International Conference on Parallel, Distributed and Network-Based Processing","Conferência Internacional Euromicro sobre Processamento Paralelo, Distribuído e Baseado em Rede",A3
PE-WASUN,"ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks","Simpósio Internacional ACM sobre Avaliação de Desempenho de Redes Sem Fio Ad Hoc, Sensores e Ubíquas",B4
PERCOM-E,International Conference on Pervasive Computing and Communications Companion,Conferência Internacional sobre Computação e Comunicações Pervasivas (Complementar),A3
PERVASIVEHEALTH,International Conference on Pervasive Computing Technologies for Healthcare,Conferência Internacional sobre Tecnologias de Computação Pervasiva para Saúde,A3
PETRA,ACM International Conference on PErvasive Technologies Related to Assistive Environments,Conferência Internacional ACM sobre Tecnologias Pervasivas Relacionadas a Ambientes Assistivos,A3
PIMRC,"International Symposium on Personal, Indoor and Mobile Radio Communications","Simpósio Internacional sobre Comunicações Pessoais, Internas e Rádio Móvel",A2
PKC,International Conference on Practice and Theory in Public Key Cryptography,Conferência Internacional sobre Prática e Teoria em Criptografia de Chave Pública,A1
PLOP,Conference on Pattern Languages of Programs,Conferência sobre Linguagens de Padrões de Programas,B1
PODC,ACM Symposium on Principles of Distributed Computing,Simpósio ACM sobre Princípios de Computação Distribuída,A2
PoEM,IFIP WG 8.1 Working Conference on the Practice of Enterprise Modelling,Conferência de Trabalho IFIP WG 8.1 sobre a Prática de Modelagem Empresarial,B2
PPAM,International Conference on Parallel Processing and Applied Mathematics,Conferência Internacional sobre Processamento Paralelo e Matemática Aplicada,B2
PPSN,International Conference on Parallel Problem Solving from Nature,Conferência Internacional sobre Resolução de Problemas Paralelos a partir da Natureza,A4
PRDC,Pacific Rim International Symposium on Dependable Computing,Simpósio Internacional da Bacia do Pacífico sobre Computação Confiável,A4
PRIMA,nternational Conference on Principles and Practice of Multi-Agent Systems,Conferência Internacional sobre Princípios e Prática de Sistemas Multiagentes,B2
PROFES,International Conference on Product-Focused Software Process Improvement,Conferência Internacional sobre Melhoria de Processo de Software Focada em Produto,A3
PROMISE,International Conference on Predictive Models and Data Analytics in Software Engineering,Conferência Internacional sobre Modelos Preditivos e Análise de Dados em Engenharia de Software,B1
PROPOR,International Conference on Computational Processing of the Portuguese Language,Conferência Internacional sobre Processamento Computacional da Língua Portuguesa,A4
PST,"International Conference on Privacy, Security and Trust","Conferência Internacional sobre Privacidade, Segurança e Confiança",A4
QoMEX,International Workshop on Quality of Multimedia Experience,Workshop Internacional sobre Qualidade da Experiência Multimídia,A3
QRS,"IEEE International Conference on Software Quality, Reliability, and Security","Conferência Internacional IEEE sobre Qualidade, Confiabilidade e Segurança de Software",A3
QUATIC,International Conference on Quality of Information and Communications Technology,Conferência Internacional sobre Qualidade de Tecnologia da Informação e Comunicação,B1
RANLP,International Conference on Recent Advances in Natural Language Processing,Conferência Internacional sobre Avanços Recentes no Processamento de Linguagem Natural,A2
RCIS,International Conference on Research Challenges in Information Science,Conferência Internacional sobre Desafios de Pesquisa em Ciência da Informação,A4
RE,IEEE International Requirements Engineering Conference,Conferência Internacional IEEE de Engenharia de Requisitos,A2
RECSYS,ACM Conference on Recommender Systems,Conferência ACM sobre Sistemas de Recomendação,A1
REFSQ,International Working Conference on Requirements Engineering: Foundations for Software Quality,Conferência Internacional de Trabalho sobre Engenharia de Requisitos: Fundamentos para Qualidade de Software,A3
RO-MAN,IEEE International Symposium on Robot and Human Interactive Communication,Simpósio Internacional IEEE de Comunicação Interativa entre Robôs e Humanos,A2
ROBOCUP,Robocup International Symposium,Simpósio Internacional Robocup,A4
ROBOT,Iberian Robotics Conference,Conferência Ibérica de Robótica,B1
RTAS,IEEE REAL-TIME AND EMBEDDED TECHNOLOGY AND APPLICATIONS SYMPOSIUM,Simpósio IEEE de Tecnologia e Aplicações em Tempo Real e Embarcadas,A2
RTSS,Real-Time Systems Symposium,Simpósio de Sistemas de Tempo Real,A3
RuleML+RR,International Joint Conference on Rules and Reasoning,Conferência Internacional Conjunta sobre Regras e Raciocínio,B1
SAC,ACM Symposium on Applied Computing,Simpósio ACM sobre Computação Aplicada,A1
SACI,IEEE International Symposium on Applied Computational Intelligence and Informatics,Simpósio Internacional IEEE de Inteligência Computacional Aplicada e Informática,B1
SAMOS,"International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation","Conferência Internacional sobre Sistemas de Computação Embarcados: Arquiteturas, Modelagem e Simulação",B2
SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering","Conferência Internacional IEEE sobre Análise, Evolução e Reengenharia de Software",A1
SAS,IEEE Sensors Applications Symposium,Simpósio de Aplicações de Sensores IEEE,A3
SAST,Brazilian Symposium on Systematic and Automated Software Testing,Simpósio Brasileiro de Testes de Software Sistemáticos e Automatizados,B1
SBAC-PAD,International Symposium on Computer Architecture and High Performance Computing,Simpósio Internacional sobre Arquitetura de Computadores e Computação de Alto Desempenho,A3
SBAI,Simpósio Brasileiro de Automação Inteligente,Brazilian Symposium on Intelligent Automation,B4
SBBD,Simpósio Brasileiro de Banco de Dados,Brazilian Symposium on Databases,A4
SBCARS,"Brazilian Symposium on Components, Architectures and Reuse Software","Simpósio Brasileiro de Componentes, Arquiteturas e Reuso de Software",B1
SBCAS,Simpósio Brasileiro de Computação Aplicada à Saúde,Brazilian Symposium on Computing Applied to Health,A4
SBCCI,Symposium on Integrated Circuits and Systems Design,Simpósio sobre Design de Circuitos e Sistemas Integrados,A4
SBCM,Simpósio Brasileiro de Computação Musical,Brazilian Symposium on Computer Music,A4
SBCUP,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,Brazilian Symposium on Ubiquitous and Pervasive Computing,B4
SBES,Brazilian Symposium on Software Engineering,Simpósio Brasileiro de Engenharia de Software,A3
SBESC,Symposium on Computing Systems Engineering,Simpósio sobre Engenharia de Sistemas Computacionais,A4
SBGAMES,Simpósio Brasileiro de Jogos e Entretenimento Digital,Brazilian Symposium on Games and Digital Entertainment,A4
SBGAMES-E,Simpósio Brasileiro de Jogos e Entretenimento Digital Companion,Simpósio Brasileiro de Jogos e Entretenimento Digital (Complementar),B2
SBIAGRO,Congresso Brasileiro de Agroinformática,Brazilian Congress on Agroinformatics,B4
SBIE,Simpósio Brasileiro de Informática na Educação,Brazilian Symposium on Informatics in Education,A3
SBLP,Brazilian Symposium on Programming Languages,Simpósio Brasileiro de Linguagens de Programação,A4
SBMF,Brazilian Symposium on Formal Methods,Simpósio Brasileiro de Métodos Formais,A4
SBMICRO,Symposium on Microelectronics Technology and Devices,Simpósio sobre Tecnologia e Dispositivos de Microeletrônica,B3
SBPO,Simpósio Brasileiro de Pesquisa Operacional,Brazilian Symposium on Operations Research,A4
SBQS,Simpósio Brasileiro de Qualidade de Software,Brazilian Symposium on Software Quality,A3
SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,Brazilian Symposium on Computer Networks and Distributed Systems,A4
SBrT,Simpósio Brasileiro de Telecomunicações e Processamento de Sinais,Brazilian Symposium on Telecommunications and Signal Processing,B4
SBSC,Simpósio Brasileiro de Sistemas Colaborativos,Brazilian Symposium on Collaborative Systems,A4
SBSE,Simpósio Brasileiro de Sistemas Elétricos,Brazilian Symposium on Electric Systems,B4
SBSeg,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,Brazilian Symposium on Information and Computer Systems Security,A4
SBSI,Simpósio Brasileiro de Sistemas de Informação,Brazilian Symposium on Information Systems,A4
SBSI-E,Simpósio Brasileiro de Sistemas de Informação Companion,Brazilian Symposium on Information Systems (Complementar),B3
SBSR,Simpósio Brasileiro de Sensoriamento Remoto,Brazilian Symposium on Remote Sensing,B2
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis","Conferência Internacional de Computação de Alto Desempenho, Redes, Armazenamento e Análise",A1
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,Conferência Internacional de Trabalho IEEE sobre Análise e Manipulação de Código Fonte,A3
SCCC,International Conference of the Chilean Computer Science Society,Conferência Internacional da Sociedade Chilena de Ciência da Computação,B1
SCS,Symposium on Combinatorial Search,Simpósio sobre Busca Combinatória,A3
SDM,SIAM International Conference on Data Mining,Conferência Internacional SIAM sobre Mineração de Dados,A1
SDS,International Conference on Software Defined Systems,Conferência Internacional sobre Sistemas Definidos por Software,A4
SDSS,Spatial Data Science Symposium,Simpósio de Ciência de Dados Espaciais,B2
SEA,International Symposium on Experimental Algorithms,Simpósio Internacional sobre Algoritmos Experimentais,B1
SEAA,Euromicro Conference on Software Engineering and Advanced Applications,Conferência Euromicro sobre Engenharia de Software e Aplicações Avançadas,A3
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,Simpósio Internacional sobre Engenharia de Software para Sistemas Adaptativos e Auto-Gerenciáveis,A3
SECRYPT,International Conference on Security and Cryptography,Conferência Internacional sobre Segurança e Criptografia,B2
SEFM,International Conference on Software Engineering and Formal Methods,Conferência Internacional sobre Engenharia de Software e Métodos Formais,A3
SEGAH,International Conference on Serious Games and Applications for Health,Conferência Internacional sobre Jogos Sérios e Aplicações para a Saúde,A3
SEH,International Workshop on Software Engineering in Healthcare,Workshop Internacional sobre Engenharia de Software na Saúde,B4
SEKE,International Conference on Software Engineering and Knowledge Engineering,Conferência Internacional sobre Engenharia de Software e Engenharia de Conhecimento,B1
SEMEVAL,International Workshop on Semantic Evaluation,Workshop Internacional sobre Avaliação Semântica,A1
SEMISH,Seminário Integrado de Software e Hardware,Integrated Seminar on Software and Hardware,A4
SEPLN,CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING,Conferência da Sociedade Espanhola de Processamento de Linguagem Natural,B3
SER&IP,IEEE/ACM International Workshop on Software Engineering Research and Industrial Practice,Workshop Internacional IEEE/ACM sobre Pesquisa em Engenharia de Software e Prática Industrial,B3
SERP4IOT,International Workshop on Software Engineering Research & Practices for the Internet of Things,Workshop Internacional sobre Pesquisa e Práticas de Engenharia de Software para a Internet das Coisas,B4
SESoS,International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems,Workshop Internacional sobre Engenharia de Software para Sistemas de Sistemas e Ecossistemas de Software,B2
SIBGRAPI,"Conference on Graphics, Patterns and Images","Conferência sobre Gráficos, Padrões e Imagens",A3
SIGCSE,ACM Technical Symposium on Computer Science Education,Simpósio Técnico ACM sobre Educação em Ciência da Computação,A1
SIGDOC,ACM International Conference on Design of Communication,Conferência Internacional ACM sobre Design de Comunicação,B2
SIGGRAPH,International Conference and Exibition on Computer Graphics and Interactive Techniques,Conferência e Exposição Internacional sobre Computação Gráfica e Técnicas Interativas,A3
SIGGRAPH Asia,ACM International Conference on Computer Graphics & Interactive Techniques / Asia,Conferência Internacional ACM sobre Computação Gráfica e Técnicas Interativas / Ásia,A2
SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,Conferência Internacional ACM SIGIR sobre Pesquisa e Desenvolvimento em Recuperação de Informação,A1
SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,Conferência Internacional sobre Medição e Modelagem de Sistemas Computacionais,A1
SIGSPATIAL,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,Conferência Internacional ACM SIGSPATIAL sobre Avanços em Sistemas de Informação Geográfica,A3
SIIE,Simpósio Internacional de Informática Educatica,International Symposium on Educational Informatics,B2
SIMBIG,Annual International Symposium on Information Management and Big Data,Simpósio Internacional Anual sobre Gestão da Informação e Big Data,B3
SIMULTECH,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications","Conferência Internacional sobre Metodologias, Tecnologias e Aplicações de Simulação e Modelagem",B2
SIMUTOOLS,EAI International Conference on Simulation Tools and Techniques,Conferência Internacional EAI sobre Ferramentas e Técnicas de Simulação,B2
SIPAIM,International Symposium on Medical Information Processing and Analysis,Simpósio Internacional sobre Processamento e Análise de Informações Médicas,B2
SISAP,International Conference on Similarity Search and Applications,Conferência Internacional sobre Busca por Similaridade e Aplicações,B2
SLATE,"Symposium on Languages, Applications and Technologies","Simpósio sobre Linguagens, Aplicações e Tecnologias",B3
SMARTCOMP,International Conference on Smart Computing,Conferência Internacional sobre Computação Inteligente,A3
SMARTGRIDCOMM,IEEE International Conference on Smart Grid Communications,Conferência Internacional IEEE sobre Comunicações de Redes Inteligentes,A2
SMC,"IEEE International Conference on Systems, Man and Cybernetics","Conferência Internacional IEEE sobre Sistemas, Homem e Cibernética",A1
SOCINFO,International Conference on Social Informatics,Conferência Internacional sobre Informática Social,B3
SODA,ACM-SIAM Symposium on Discrete Algorithms,Simpósio ACM-SIAM sobre Algoritmos Discretos,A1
SOFSEM,International Conference on Current Trends in Theory and Practice of Computer Science,Conferência Internacional sobre Tendências Atuais na Teoria e Prática da Ciência da Computação,B4
SOFTCOM,"International Conference on Software, Telecommunications and Computer Networks","Conferência Internacional sobre Software, Telecomunicações e Redes de Computadores",A4
SOSA,Siam Symposium on Simplicity in Algorithms,Simpósio SIAM sobre Simplicidade em Algoritmos,A4
SOSEC,IEEE Annual System of Systems Engineering Conference,Conferência Anual IEEE de Engenharia de Sistemas de Sistemas,A4
SOSR,Symposium on Software Defined Networking Research,Simpósio sobre Pesquisa em Redes Definidas por Software,B4
SPATIALGEMS,ACM SIGSPATIAL International Workshop on Spatial Gems,Workshop Internacional ACM SIGSPATIAL sobre Joias Espaciais,B4
SPIE,Proceedings of SPIE--The International Society for Optical Engineering,Anais da SPIE--A Sociedade Internacional de Engenharia Óptica,A3
SPIEMI,Medical Imaging: Image Processing,Imagem Médica: Processamento de Imagem,A3
SPIRE,International Symposium on String Processing and Information Retrieval,Simpósio Internacional sobre Processamento de Strings e Recuperação de Informação,B1
SPLC,International Software Product Line Conference,Conferência Internacional de Linha de Produtos de Software,A2
SPLITECH,International Conference on Smart and Sustainable Technologies,Conferência Internacional sobre Tecnologias Inteligentes e Sustentáveis,A4
SRDS,IEEE Symposium on Reliable Distributed Systems,Simpósio IEEE sobre Sistemas Distribuídos Confiáveis,A3
SSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho,Symposium on High Performance Computer Systems,A4
SSCI,IEEE Symposium Series on Computational Intelligence,Série de Simpósios IEEE sobre Inteligência Computacional,A2
SSDBM,International Conference on Scientific and Statistical Database Management,Conferência Internacional sobre Gestão de Bancos de Dados Científicos e Estatísticos,A3
SSE,IEEE International Conference on Software Services Engineering,Conferência Internacional IEEE sobre Engenharia de Serviços de Software,A4
SSIAI,Southwest Symposium on Image Analysis and Interpretation,Simpósio Sudoeste sobre Análise e Interpretação de Imagem,B2
STIL,Brazilian Symposium in Information and Human Language Technology,Simpósio Brasileiro de Tecnologia da Informação e Linguagem Humana,B1
STOC,ACM Symposium on Theory of Computing,Simpósio ACM sobre Teoria da Computação,A1
SVR,Symposium on Virtual and Augmented Reality,Simpósio sobre Realidade Virtual e Aumentada,A3
SWQD,Conference Software Quality Days,Conferência de Dias de Qualidade de Software,A4
SYSCON,IEEE International Systems Conference,Conferência Internacional IEEE de Sistemas,A4
TABLEAUX,International Conference on Automated Reasoning with Analytic Tableaux and Related Methods,Conferência Internacional sobre Raciocínio Automatizado com Tableaux Analíticos e Métodos Relacionados,B2
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,Conferência Internacional sobre Ferramentas e Algoritmos para a Construção e Análise de Sistemas,A1
TASE,Theoretical Aspects of Software Engineering,Aspectos Teóricos da Engenharia de Software,B1
TECHDEBT,International Conference on Technical Debt,Conferência Internacional sobre Dívida Técnica,A3
TEEM,Technological Ecosystems for Enhancing Multiculturality,Ecossistemas Tecnológicos para Melhorar a Multiculturalidade,A3
TISE,Congreso Internacional de Informática Educativa,International Congress on Educational Informatics,B4
TMA,The Network Traffic Measurement and Analysis Conference,Conferência de Medição e Análise de Tráfego de Rede,A4
TRUST,International Workshop on Trust in Agent societies,Workshop Internacional sobre Confiança em Sociedades de Agentes,B4
TRUSTCOM,"International Conference on Trust, Security and Privacy in Computing and Communications","Conferência Internacional sobre Confiança, Segurança e Privacidade em Computação e Comunicações",A2
TSD,"International Conference on Text, Speech and Dialogue","Conferência Internacional sobre Texto, Fala e Diálogo",A3
UBIMUS,Workshop de Música Ubíqua,Workshop on Ubiquitous Music,B4
UCC,IEEE/ACM International Conference on Utility and Cloud Computing,Conferência Internacional IEEE/ACM sobre Computação em Nuvem e Utilidade,A3
UMAP,"ACM Conference on User Modeling, Adaptation and Personalization","Conferência ACM sobre Modelagem de Usuário, Adaptação e Personalização",A2
UNIF,International Workshop on Unification,Workshop Internacional sobre Unificação,B4
USIHC,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador,International Congress on Ergonomics and Usability of Human-Computer Interfaces,B4
VAMOS,International Workshop on Variability Modelling of Software-intensive Systems,Workshop Internacional sobre Modelagem de Variabilidade de Sistemas Intensivos em Software,A3
VCIP,IEEE International Conference on Visual Communications and Image Processing,Conferência Internacional IEEE sobre Comunicações Visuais e Processamento de Imagens,A4
VEM,"Workshop on Software Visualization, Evolution and Maintenance","Workshop sobre Visualização, Evolução e Manutenção de Software",B3
VIDEOJOGOS,Conference on Videogame Sciences and Arts,Conferência sobre Ciências e Artes de Videogames,B4
VISAPP,International Conference on Computer Vision Theory and Applications,Conferência Internacional sobre Teoria e Aplicações de Visão Computacional,A2
VISIGRAPP,"Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications","Conferência sobre Visão Computacional, Imagem e Teoria e Aplicações de Computação Gráfica",B2
VISSOFT,IEEE Working Conference on Software Visualization,Conferência de Trabalho IEEE sobre Visualização de Software,B2
VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,Simpósio IEEE sobre Linguagens Visuais e Computação Centrada no Humano,A4
VLSI-SOC,IEEE/IFIP International Conference on VLSI and System-on-Chip,Conferência Internacional IEEE/IFIP sobre VLSI e Sistema em um Chip,A3
VNC,IEEE Vehicular Networking Conference,Conferência IEEE de Redes Veiculares,A4
VR,IEEE Conference Virtual Reality and 3D User Interfaces,Conferência IEEE sobre Realidade Virtual e Interfaces de Usuário 3D,A1
VRST,ACM Symposium on Virtual Reality Software and Technology,Simpósio ACM sobre Software e Tecnologia de Realidade Virtual,A2
VTC,Vehicular Technology Conference,Conferência de Tecnologia Veicular,A1
VTS,IEEE VLSI Test Symposium,Simpósio de Testes VLSI IEEE,A4
W4A,Conference on Web Accessibility,Conferência sobre Acessibilidade Web,A4
WABI,Workshop on Algorithms in Bioinformatics,Workshop sobre Algoritmos em Bioinformática,A3
WAC,Web Audio Conference,Conferência de Áudio Web,B3
WACV,Workshop on Applications of Computer Vision,Workshop sobre Aplicações de Visão Computacional,A1
WAIHCWS,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,Workshop on Aspects of Human-Computer Interaction for the Social Web,B3
WALCOM,International Workshop on Algorithms and Computation,Workshop Internacional sobre Algoritmos e Computação,B2
WAOA,Workshop on Approximation and Online Algorithms,Workshop sobre Algoritmos de Aproximação e Online,B3
WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software","Workshop on Social, Human and Economic Aspects of Software",B2
WASSA,"Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis","Workshop sobre Abordagens Computacionais para Subjetividade, Sentimento e Análise de Mídia Social",A4
WAVE,Workshop on Advanced Virtual Environments and Education,Workshop sobre Ambientes Virtuais Avançados e Educação,B4
WBCI,Workshop Brasileiro de Cidades Inteligentes,Brazilian Workshop on Smart Cities,B4
WBL,Workshop Brasileiro de Lógica,Brazilian Workshop on Logic,B4
WBLOCKCHAIN,"Workshop em Blockchain: Teoria, Tecnologias e Aplicações","Workshop on Blockchain: Theory, Technologies and Applications",B4
WBMA,Workshop Brasileiro de Métodos Ágeis,Brazilian Workshop on Agile Methods,B4
WCAMA,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,Workshop on Computing Applied to Environmental and Natural Resource Management,B4
WCAS,Workshop on Circuits and Systems Design,Workshop sobre Design de Circuitos e Sistemas,B4
WCGE,Workshop de Computação Aplicada ao Governo Eletrônico,Workshop on Computing Applied to E-Government,B4
WCNC,IEEE Wireless Communications and Networking Conference,Conferência IEEE de Comunicações e Redes Sem Fio,A2
WCNPS,Workshop on Communication Networks and Power Systems,Workshop sobre Redes de Comunicação e Sistemas de Energia,B2
WD,Wireless Days Conference,Conferência Wireless Days,A4
WEB3D,International Conference on 3D Web Technology,Conferência Internacional sobre Tecnologia Web 3D,A4
WEB4ALL,International Web for All Conference,Conferência Internacional Web for All,A3
WEBIST,International Conference on Web Information Systems and Technologies,Conferência Internacional sobre Sistemas e Tecnologias de Informação Web,A4
WEBMEDIA,Brazilian Symposium on Multimedia and the Web,Simpósio Brasileiro de Multimídia e Web,A3
WEBSCI,ACM Web Science Conference,Conferência ACM sobre Web Science,A2
WEI,Workshop sobre Educação em Computação,Workshop on Computing Education,A4
